setting,num_angles,recon_ssim,recon_psnr,hu_ssim,hu_psnr
sparse_step2,360,0.9264150605821578,39.85508661584638,0.928500010212724,39.85508686385536
sparse_step4,180,0.7262340725334198,32.37130004218072,0.7411369649683872,32.371300286625434
sparse_step8,90,0.4656004107580103,26.993937049672887,0.5021005910930298,26.993937301626985
sparse_step10,72,0.4019067782697986,25.425169797522035,0.43549181622271393,25.425170048558726
limited_180deg,360,0.7045292241278381,28.868953416231065,0.7222180901807858,28.868953658612604
limited_90deg,180,0.32508662259404,14.475034492570076,0.46063618239697635,14.47503473865698
limited_45deg,90,0.22323970077090616,11.578396141752375,0.22748684187742757,11.578396389303842
limited25pct_sparse_step2,90,0.28340901389426293,14.428663904807355,0.3930477237088408,14.428664155740119
limited25pct_sparse_step4,45,0.21356306824121904,14.184971399455906,0.25672330919132486,14.184971646605655
limited25pct_sparse_step8,23,0.14023837354599253,13.638282733911781,0.16040664334064902,13.638282980070224
limited25pct_sparse_step10,18,0.12008312707755052,13.144152262842862,0.13645131914560651,13.144152510240703
